CAMPAIGN_ID,CAMPAIGN_NAME,OBJECTIVE,START_DATE,END_DATE,TOTAL_BUDGET_USD,PRIMARY_TITLE_ID,CAMPAIGN_TYPE
101,PS5 Pro Launch Global,Awareness,2025-11-01,2025-12-15,18500000,,PRODUCT_LAUNCH
102,Holiday Bundle 2025,Conversion,2025-11-15,2026-01-02,9500000,,SEASONAL
103,PS Plus Q4 Premium Upgrade,Retention,2025-11-10,2026-01-31,4200000,,SUBSCRIPTION
104,Astro Bot Sustain,Consideration,2025-11-01,2026-02-28,2800000,2,TITLE_SUSTAIN
105,Spider-Man 2 Sustain,Consideration,2025-11-01,2026-01-31,2200000,1,TITLE_SUSTAIN
106,GTA VI Pre-Order Push,Conversion,2026-01-15,2026-04-30,7600000,10,PRE_ORDER
107,Always-On Brand Lexus,Awareness,2025-11-01,2026-04-30,5000000,,ALWAYS_ON
108,Play Has No Limits Sizzle,Awareness,2025-11-01,2026-03-31,3600000,,BRAND
109,Ghost of Yotei Sustain,Consideration,2025-11-01,2026-02-14,3100000,8,TITLE_SUSTAIN
110,PS Plus Essentials Acquire,Acquisition,2026-01-05,2026-03-31,2500000,,SUBSCRIPTION
111,Valentine Game Gifting,Conversion,2026-02-01,2026-02-16,850000,,SEASONAL
112,Spring Refresh,Consideration,2026-03-01,2026-04-30,2100000,,SEASONAL
113,Helldivers 2 Reengagement,Retention,2025-12-01,2026-02-28,1200000,19,TITLE_SUSTAIN
114,Resident Evil 9 Pre-Order,Conversion,2026-01-10,2026-02-26,1800000,30,PRE_ORDER
